"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",48530.5712658379,7619299.68873655,0.0262350245013975,48530.5712658379,0.014641127192933,291183.427595027,0.0219558586296184,48530.5712658379,0.0219558586296184,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"2","trend",0.281755358674017,78900938.3518151,0.271674318560158,502553.747463791,0.151614809922544,2981860.47649612,0.22483871288942,496976.746082687,0.22483871288942,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"3","season",0.323088013793242,15619.6812339612,5.37822026455744e-05,99.4884155029377,3.00145353250196e-05,637890.126127594,0.0480982916718922,106315.021021266,0.0480982916718922,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"4","holiday",0.982193891936652,6835627.76020718,0.0235366594172129,273425.110408287,0.0824892787126015,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.175220164412407,153571521.233174,0.528782537353809,978162.55562531,0.295100634893119,7574785.05434461,0.571155134674213,1262464.1757241,0.571155134674213,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"6","events",0.9764746692362,1242865.79207676,0.00427947657122404,1242865.79207676,0.374958622388001,0,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,NA,NA,NA,NA,NA,NA,NA,2,FALSE,NA,NA,NA,NA,NA
"7","tv_S",691153.515846185,13540002.4395932,0.0466213838887092,86242.0537553707,0.0260182570589476,530621.781932831,0.040010027102629,88436.9636554718,0.040010027102629,TRUE,0.212102766514212,0.317523800746157,16734.0398301486,2627244.25333333,NA,NA,0.412883662035333,0.500338898194728,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,86242.0537553707,25071.606461545,8337.56663139643,5.15369000138233,5.15369000138233,0.194035729687229,0.194035729687229,2,FALSE,5.20427071172445,0.0100469643792244,5.06534763663171,5.3426381663711,0.415822397398227
"8","ooh_S",208454.645527402,11330806.733793,0.039014608221947,72170.7435273439,0.0217731011202046,176537.690739777,0.0133113227380253,29422.9484566295,0.0133113227380253,TRUE,0.645700258305148,0.156568022679373,50943.106581741,7998067.73333333,NA,NA,0.345517292107934,0.166462585370766,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,72170.7435273439,84140.7354073842,33197.6288256433,1.41669302031163,1.41669302031163,0.705869221957506,0.705869221957506,2,FALSE,1.36577924283499,0.0108400035168371,1.21592611954838,1.51510408058267,0.736018969089666
"9","print_S",274622.60691162,5573693.02824447,0.0191915240419569,35501.2294792642,0.0107103214067726,147345.043041331,0.0111101341223643,24557.5071735551,0.0111101341223643,TRUE,0.0461843016499303,0.0568475009733232,3643.75230007077,572069.111111111,NA,NA,0.169962066020981,0.138935978506601,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,35501.2294792642,4089.98861890096,446.236318830186,9.74304139130825,9.74304139130825,0.102637355199178,0.102637355199178,2,FALSE,9.75373571071135,0.0167802322454081,9.52233420304777,9.98545911449872,0.197971849370605
"10","facebook_I",39413.7618916888,974481.377702892,0.00335536648571311,6206.88775606938,0.00187254818434087,18749.5389533027,0.00141375568667929,3124.92315888378,0.00141375568667929,TRUE,0.0260427598136316,0.0365694558599733,2054.66711806942,322582.737536898,7909564.88522703,4164895.27055339,0.0297154628742663,0.0176794922126701,1,0.946865911319501,NA,NA,0.0519059742215797,NA,NA,0.0519059742215797,0.0242275271922814,0,38659.6509491729,0.000490443168782265,65481090.2533626,1e-04,"1_22_2",1,22,2,149,2,6206.88775606938,2130.5128020005,75.8456839310818,3.02087267639803,3.02087267639803,0.331030171451106,0.331030171451106,2,FALSE,2.26058998684816,0.14500234852892,0.256360591472486,4.2583433316704,0.0108228752233146
