"","rn","cluster","n","boot_mean","boot_se","boot_ci","ci_low","ci_up","sd","dist100"
"1","facebook_I",1,50,2.18398211270647,0.107670826012198,"[0.65, 3.71]",0.649984976134883,3.70995599426433,0.753695782085386,0.0461349755787901
"2","facebook_I",2,47,2.26058998684816,0.14500234852892,"[0.26, 4.26]",0.256360591472486,4.2583433316704,0.983453776051277,0.0602918211343482
"3","facebook_I",3,56,3.22970278492902,0.108728844359598,"[1.61, 4.87]",1.60685772001135,4.86804848261821,0.806354691043308,0.0492313145928634
"4","ooh_S",1,50,1.38794198300393,0.00751761230041303,"[1.28, 1.49]",1.28084038813334,1.49448856579468,0.0526232861028912,0.0032211590895669
"5","ooh_S",2,47,1.36577924283499,0.0108400035168371,"[1.22, 1.52]",1.21592611954838,1.51510408058267,0.0735204808694276,0.00450726184619345
"6","ooh_S",3,56,1.43756795770103,0.00755659519139864,"[1.32, 1.55]",1.32483226966968,1.55148324329215,0.056041209826045,0.00342154942701574
"7","print_S",1,50,9.71581836801973,0.0162556996807877,"[9.49, 9.95]",9.48547173765404,9.94745361097033,0.113789897765514,0.00696526938229607
"8","print_S",2,47,9.75373571071135,0.0167802322454081,"[9.52, 9.99]",9.52233420304777,9.98545911449872,0.113809072281837,0.00697720258600627
"9","print_S",3,56,9.64340557025938,0.0118937477923133,"[9.46, 9.82]",9.46395604826177,9.82069469164131,0.0882063943832512,0.00538536800147517
"10","search_clicks_P",1,50,1.30091572940777,0.0653749852193927,"[0.37, 2.23]",0.368793845882904,2.22673036862603,0.457624896535749,0.0280119829880264
"11","search_clicks_P",2,47,1.16324891096176,0.089976463932272,"[0, 2.4]",0,2.40265201868848,0.610250069103438,0.0365974965342965
"12","search_clicks_P",3,56,1.73666446051985,0.0602600549994816,"[0.84, 2.65]",0.837970290021041,2.64539807862647,0.446900528719457,0.0272851398590337
"13","tv_S",1,50,5.16667613474726,0.0096073644509978,"[5.03, 5.3]",5.03026090099756,5.30329917765507,0.0672515511569846,0.00411657958557043
"14","tv_S",2,47,5.20427071172445,0.0100469643792244,"[5.07, 5.34]",5.06534763663171,5.3426381663711,0.0681418277486052,0.00417751702259188
"15","tv_S",3,56,5.2655945572629,0.0105325375065933,"[5.11, 5.42]",5.10795694941035,5.42386772934756,0.0781113887216759,0.00476902583212693
