"","rn","coef","xDecompAgg","xDecompPerc","xDecompMeanNon0","xDecompMeanNon0Perc","xDecompAggRF","xDecompPercRF","xDecompMeanNon0RF","xDecompMeanNon0PercRF","pos","spend_share","spend_share_refresh","mean_spend","total_spend","mean_exposure","mean_exposure_refresh","effect_share","effect_share_refresh","train_size","rsq_train","rsq_val","rsq_test","nrmse_train","nrmse_val","nrmse_test","nrmse","decomp.rssd","mape","lambda","lambda_hp","lambda_max","lambda_min_ratio","solID","trial","iterNG","iterPar","iterations","robynPareto","mean_response","mean_spend_adstocked","mean_carryover","roi_mean","roi_total","cpa_mean","cpa_total","cluster","top_sol","boot_mean","boot_se","ci_low","ci_up","carryover_pct"
"1","(Intercept)",565.424592442345,88771.6610134481,0.000307330044510259,565.424592442345,0.00017039650021511,88771.6610134481,0.000307330044510259,565.424592442345,0.00017039650021511,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"2","trend",0.278824729564963,78016384.9104564,0.270094969197746,496919.649111187,0.149751832920675,78016384.9104564,0.270094969197746,496919.649111187,0.149751832920675,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"3","season",0.311622919571023,114081.382468117,0.00039495302838151,726.633009351063,0.000218978310086185,114081.382468117,0.00039495302838151,726.633009351063,0.000218978310086185,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"4","holiday",1,6959550.26428534,0.0240941632507042,278382.010571414,0.0838932741133852,6959550.26428534,0.0240941632507042,278382.010571414,0.0838932741133852,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"5","competitor_sales_B",0.179535882187751,156418290.642562,0.541524622572,996294.844857081,0.300243670005056,156418290.642562,0.541524622572,996294.844857081,0.300243670005056,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"6","events",0.9839771947155,1252415.07437376,0.00433589702117096,1252415.07437376,0.377428128069433,1252415.07437376,0.00433589702117096,1252415.07437376,0.377428128069433,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,NA,NA,NA,NA,NA,NA,NA,3,FALSE,NA,NA,NA,NA,NA
"7","tv_S",708292.902590575,13301414.0332921,0.0460498780830715,84722.3823776565,0.0255319588854124,13301414.0332921,0.0460498780830715,84722.3823776565,0.0255319588854124,TRUE,0.206047362680601,0.206047362680601,16505.80985138,2591412.14666667,NA,NA,0.363482116178741,0.363482116178741,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,84722.3823776565,24114.2169320347,7608.40708065463,5.13288249049912,5.13288249049912,0.194822305371491,0.194822305371491,3,FALSE,5.27328129816626,0.0374352953994153,4.78451141274021,5.76442679135342,0.410039749050305
"8","ooh_S",258217.23518341,12773789.7925848,0.044223227781274,81361.7184241067,0.024519188334329,12773789.7925848,0.044223227781274,81361.7184241067,0.024519188334329,TRUE,0.655151359349006,0.655151359349006,52482.1265392781,8239693.86666667,NA,NA,0.349063951682884,0.349063951682884,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,81361.7184241067,87890.3481807081,35408.22164143,1.55027480380801,1.55027480380801,0.645046928159868,0.645046928159868,3,FALSE,1.41026714926514,0.0243709090754992,1.09107672202592,1.72901555325627,0.730793492456597
"9","print_S",193586.196014481,7502128.1370533,0.025972583456932,47784.255650021,0.0144002755397979,7502128.1370533,0.025972583456932,47784.255650021,0.0144002755397979,TRUE,0.0478369682055284,0.0478369682055284,3832.06992215145,601634.977777778,NA,NA,0.205007482984522,0.205007482984522,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,47784.255650021,5134.60320786871,1302.53328571726,12.4695677847113,12.4695677847113,0.0801952415083768,0.0801952415083767,3,FALSE,10.3790102735958,0.0811447084359962,9.3155641404584,11.4396277237996,0.421765655031063
"10","facebook_I",30012.5404087601,618786.296415078,0.00214225596151428,3941.31398990495,0.00118775539498158,618786.296415078,0.00214225596151428,3941.31398990495,0.00118775539498158,TRUE,0.0265630827769259,0.0265630827769259,2127.88549039596,334078.021992166,8174056.93044,8174056.93044,0.016909311440153,0.016909311440153,1,0.946795621486716,NA,NA,0.0516530996937342,NA,NA,0.0516530996937342,0.378513221764947,0,30861.5410612339,0.0003713417649,65481090.2533626,1e-04,"1_223_5",1,223,5,1559,3,3941.31398990495,2172.06458717267,44.1790967767015,1.85222090553921,1.85222090553921,0.539892405387189,0.539892405387189,3,FALSE,3.08449328846842,0.197264110798888,0.50785316794367,5.6714864118611,0.00093541498998459
